Unde se află carena sau opera vie ?,,desupra nivelului apei,0,sub nivelul apei,1,la nivelul apei,0
Unde se află opera moartă ?,,deasupra nivelului apei,1,sub nivelul apei,0,la nivelul apei,0
Cum împarte planul diametral nava ?,,în două părţi : babord şi tribord,1,în două părţi : pupa şi prova,0,în două părţi : pupa şi prova,0
Cum împarte planul cuplului maestru nava ?,,în două părţi : babord şi tribord,0,în două părţi : opera vie şi opera moartă,0,în două părţi : pupa şi prova,1
Cum împarte planul plutirii nava ?,,în două părţi : partea imensă şi partea emersă,1,în două părţi : babord şi tribord,0,în două părţi : pupa şi prova,0
Cum se simbolizează pescajul navei ?,,L,0,D,0,T,1
Care dintre părţile navei se află deasupra nivelului apei?,,opera vie .,0,opera moartă.,1,carena.,0
Care dintre părţile navei se află sub nivelul apei?,,opera vie .,1,opera moartă.,0,osatura.,0
Care dintre părţile navei se află deasupra nivelului apei?,,partea imersă.,0,partea emersă.,1,opera vie.,0
Care dintre părţile navei se află sub nivelul apei?,,partea imersă.,1,partea emersă.,0,rezerva de flotabilitate.,0
Corpul navei este simetric faţă de:,,planul cuplului maestru.,0,planul plutirii.,0,planul diametral.,1
"Cum se numeşte partea din dreapta planului diametral,la o navă,privind în sensul ei de înaintare ?",,tribord.,1,babord.,0,prova.,0
"Cum se numeşte partea din stânga planului diametral,la o navă,privind în sensul ei de înaintare.",,tribord.,0,babord.,1,pupa.,0
Cum se numeşte extremitatea anterioară a navei?,,pupa.,0,prova.,1,dublu fund.,0
Cum se numeşte extremitatea posterioară a navei?,,pupa.,1,prova.,0,pic prova.,0
"Care dintre planurile principale ale navei,o împarte în două părţi,babord şi tribord?",,planul cuplului maestru.,0,planul plutirii.,0,planul diametral.,1
"Care dintre planurile principale ale navei,o împarte în două părţi,pupa şi prova?",,planul cuplului maestru.,1,planul plutirii.,0,planul diametral.,0
"Care dintre planurile principale ale navei,o împarte în două părţi,partea emersă şi partea imersă?",,planul cuplului maestru.,0,planul plutirii.,1,planul diametral.,0
"Care dintre planurile principale ale navei,o împarte în două părţi,opera vie şi opera moartă?",,planul cuplului maestru.,0,planul plutirii.,1,planul diametral.,0
Care dintre planurile principale de proiecţie coincide cu suprafaţa liberă a apei liniştite?,,planul cuplului maestru.,0,planul de bază.,0,planul plutirii.,1
"Cum se numeşte planul principal de proiecţie,vertical longitudinal,care trece prin secţiunea maestră?",,planul cuplului maestru.,0,planul diametral.,1,planul plutirii.,0
"Cum se numeşte planul principal de proiecţie,transversal-vertical,care trece prin secţiunea maestră?",,planul cuplului maestru.,1,planul diametral.,0,planul plutirii.,0
"Planul de bază intersectează,în general,corpul navei?",,"da,rezultând suprafaţa liberă a apei.",0,nu.,1,"da,rezultând secţiunea maestră.",0
"În figura de mai jos,Lpp reprezintă:",imagini\cvn_001.jpg,lungimea maximă.,0,lungimea între perpendiculare.,1,lăţimea navei.,0
"În figura de mai jos,LcwL reprezintă:",imagini\cvn_001.jpg,lungimea maximă.,0,lungimea între perpendiculare.,0,lungimea pe plutirea de plină încărcare.,1
"În figura de mai jos,Lmax reprezintă:",imagini\cvn_001.jpg,lungimea maximă.,1,lungimea între perpendiculare.,0,lungimea pe plutirea de plină încărcare.,0
"În figura de mai jos,Bx reprezintă:",imagini\cvn_002.jpg,rezerva de flotabilitate.,0,lăţimea navei.,1,pescajul.,0
Rezerva de flotabilitate este dată de :,,înălţimea de construcţie a navei,0,înălţimea bordului liber,1,pescajul navei,0
Ce sunt Registrele de clasificare ?,,instituţii pentru supravegherea tehnică şi clasificarea navelor civile,1,cărţi tehnice de clasificare a navelor,0,organe de control tehnic ale armatorilor,0
Ce este flotabilitatea ?,,proprietatea navei de a pluti în condiţii normale,1,proprietatea navei de a se opune acţiunii forţelor exterioare care tind să o încline şi de a reveni la poziţia iniţială,0,proprietatea navei de a se mişca cu o viteză determinată,0
